,wdpaid,en_name,column,value
0,26653,Tsingy de Bemaraha Strict Nature Reserve,outlook,Good -> Good with some concerns
1,26653,Tsingy de Bemaraha Strict Nature Reserve,overall_threat,Low Threat -> High Threat
2,26653,Tsingy de Bemaraha Strict Nature Reserve,current_threat,Low Threat -> High Threat
3,26653,Tsingy de Bemaraha Strict Nature Reserve,potential_threat,Data Deficient -> Low Threat
4,26653,Tsingy de Bemaraha Strict Nature Reserve,prot_mgmt,Effective -> nan
5,26653,Tsingy de Bemaraha Strict Nature Reserve,wh_value,Low Concern -> Good
6,26653,Tsingy de Bemaraha Strict Nature Reserve,biodiv_value,nan -> Good
7,26653,Tsingy de Bemaraha Strict Nature Reserve,biodiv_trend,nan -> Stable
8,26653,Tsingy de Bemaraha Strict Nature Reserve,language,1 -> 2
9,61608,Rwenzori Mountains National Park,prot_mgmt,Effective -> Some Concern
10,902347,Cape Floral Region Protected Areas,outlook,Good with some concerns -> Significant Concern
11,902347,Cape Floral Region Protected Areas,prot_mgmt,Effective -> Some Concern
12,902347,Cape Floral Region Protected Areas,wh_value,Low Concern -> High Concern
13,902347,Cape Floral Region Protected Areas,wh_trend,Stable -> Deteriorating
14,17761,Kilimanjaro National Park,biodiv_value,Data Deficient -> Low Concern
15,17761,Kilimanjaro National Park,biodiv_trend,Data Deficient -> Deteriorating
16,4999,Tassili n'Ajjer,overall_threat,High Threat -> Data Deficient
17,4999,Tassili n'Ajjer,current_threat,High Threat -> Data Deficient
18,4999,Tassili n'Ajjer,wh_value,Low Concern -> Good
19,2010,Ngorongoro Conservation Area,biodiv_value,nan -> Low Concern
20,2010,Ngorongoro Conservation Area,biodiv_trend,nan -> Data Deficient
21,902487,Wadi Al-Hitan (Whale Valley),outlook,Good -> Good with some concerns
22,67727,Aïr and Ténéré Natural Reserves,potential_threat,Data Deficient -> High Threat
23,67727,Aïr and Ténéré Natural Reserves,prot_mgmt,Serious Concern -> Some Concern
24,67727,Aïr and Ténéré Natural Reserves,language,1 -> 2
25,4322,Ichkeul National Park,language,2 -> 1
26,168242,East Rennell,outlook,Critical -> Significant Concern
27,168242,East Rennell,wh_trend,Deteriorating -> Data Deficient
28,903130,Jeju Volcanic Island and Lava Tubes,potential_threat,Very Low Threat -> Low Threat
29,903130,Jeju Volcanic Island and Lava Tubes,biodiv_value,nan -> Good
30,903130,Jeju Volcanic Island and Lava Tubes,biodiv_trend,nan -> Stable
31,145586,Lake Turkana National Parks,wh_trend,Data Deficient -> Deteriorating
32,555542337,Wadi Rum Protected Area,prot_mgmt,Effective -> Some Concern
33,555542337,Wadi Rum Protected Area,wh_value,Low Concern -> Good
34,555542337,Wadi Rum Protected Area,wh_trend,Data Deficient -> Stable
35,555542337,Wadi Rum Protected Area,biodiv_trend,Data Deficient -> Stable
36,903062,Rainforests of the Atsinanana,language,1 -> 2
37,903138,Socotra Archipelago,potential_threat,Very High Threat -> High Threat
38,903138,Socotra Archipelago,prot_mgmt,Some Concern -> Serious Concern
39,903138,Socotra Archipelago,biodiv_value,nan -> High Concern
40,903138,Socotra Archipelago,biodiv_trend,nan -> Deteriorating
41,2006,Simien National Park,wh_trend,Data Deficient -> Improving
42,9628,Vallée de Mai Nature Reserve,wh_trend,Data Deficient -> Stable
43,902480,Dong Phayayen-Khao Yai Forest Complex,outlook,Critical -> Significant Concern
44,902480,Dong Phayayen-Khao Yai Forest Complex,overall_threat,Very High Threat -> High Threat
45,902480,Dong Phayayen-Khao Yai Forest Complex,potential_threat,Data Deficient -> High Threat
46,902480,Dong Phayayen-Khao Yai Forest Complex,wh_value,Critical -> High Concern
47,902480,Dong Phayayen-Khao Yai Forest Complex,wh_trend,Data Deficient -> Deteriorating
48,12209,Škocjan Caves,outlook,Good -> Significant Concern
49,12209,Škocjan Caves,overall_threat,Low Threat -> High Threat
50,12209,Škocjan Caves,current_threat,Low Threat -> High Threat
51,12209,Škocjan Caves,potential_threat,High Threat -> Very High Threat
52,12209,Škocjan Caves,prot_mgmt,Effective -> Some Concern
53,12209,Škocjan Caves,wh_value,Good -> Low Concern
54,12209,Škocjan Caves,wh_trend,Data Deficient -> Deteriorating
55,555512006,"Pitons, cirques and remparts of Reunion Island",outlook,Good with some concerns -> nan
56,555512006,"Pitons, cirques and remparts of Reunion Island",overall_threat,High Threat -> nan
57,555512006,"Pitons, cirques and remparts of Reunion Island",current_threat,High Threat -> nan
58,555512006,"Pitons, cirques and remparts of Reunion Island",potential_threat,High Threat -> nan
59,555512006,"Pitons, cirques and remparts of Reunion Island",prot_mgmt,Effective -> nan
60,555512006,"Pitons, cirques and remparts of Reunion Island",wh_value,Low Concern -> nan
61,555512006,"Pitons, cirques and remparts of Reunion Island",wh_trend,Stable -> nan
62,555512006,"Pitons, cirques and remparts of Reunion Island",language,1 -> 2
63,5005,Selous Game Reserve,biodiv_value,nan -> Data Deficient
64,5005,Selous Game Reserve,biodiv_trend,nan -> Data Deficient
65,198303,"Ibiza, Biodiversity and Culture",outlook,Significant Concern -> nan
66,198303,"Ibiza, Biodiversity and Culture",overall_threat,High Threat -> nan
67,198303,"Ibiza, Biodiversity and Culture",current_threat,High Threat -> nan
68,198303,"Ibiza, Biodiversity and Culture",potential_threat,High Threat -> nan
69,198303,"Ibiza, Biodiversity and Culture",prot_mgmt,Some Concern -> nan
70,198303,"Ibiza, Biodiversity and Culture",wh_value,High Concern -> nan
71,198303,"Ibiza, Biodiversity and Culture",wh_trend,Deteriorating -> nan
