"wdpa_id","screenname","status","stage","name_en","threat_category","threat_sub_category","potential_threat","rating","inside_site","outside_site","assessment_cycle"
"478640","elena","Completed","Published","Hierapolis-Pamukkale","Geological Events","Earthquakes/ Tsunamis","Earthquakes","Low Threat","1","0","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Habitat shifting","Data Deficient","0","0","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Climate Change and Severe Weather","Droughts","Changes to rainfall patterns","Data Deficient","0","0","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Climate Change and Severe Weather","Temperature extremes","Temperature changes","Data Deficient","0","0","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Energy Production and Mining","Oil/ Gas exploration/development","Oil and gas","Data Deficient","0","0","2014"
"902347","elena","Completed","Published","Cape Floral Region Protected Areas","Climate Change and Severe Weather","Temperature extremes","Climate change","High Threat","1","1","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Energy Production and Mining","Mining/ Quarrying","Subterranean copper mines","Data Deficient","1","1","2014"
"61608","alok","Completed","Published","Rwenzori Mountains National Park","Human Intrusions and Disturbance","War, Civil Unrest/ Military Exercises","Insurgency and security issues","Low Threat","1","0","2014"
"10904","elena","Completed","Published","Lake Malawi National Park","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Introduction of Nile Perch, Tiger Fish or other alien species","Very High Threat","0","0","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Natural System Modifications","Dams/ Water Management or Use","Construction de barrage.","High Threat","0","1","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Climate Change and Severe Weather","Storms/Flooding","Climate change","Data Deficient","1","1","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Climate Change and Severe Weather","Temperature extremes","Climate change","Data Deficient","1","1","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Residential and Commercial Development","Commercial/ Industrial Areas","Infrastructure development","Data Deficient","0","1","2014"
"555542339","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Energy Production and Mining","Oil/ Gas exploration/development","Oil and gas exploration and development","Data Deficient","0","1","2014"
"124389","elena","Completed","Published","Okapi Wildlife Reserve","Agriculture and Aquaculture","Forestry/ Wood production","Front of illegal artisanal logging moving closer to the site boundaries as a result of the RN4 rehabilitation.","Low Threat","0","1","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Other","Other","Disease transmission between domestic animals and wildlife","Data Deficient","1","0","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate change","Data Deficient","1","0","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Climate Change and Severe Weather","Droughts","Climate change","Data Deficient","1","0","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Energy Production and Mining","Mining/ Quarrying","Illegal quarries","Data Deficient","1","0","2014"
"67727","elena","Completed","Translated","Aïr and Ténéré Natural Reserves","Energy Production and Mining","Mining/ Quarrying","Forages et  activités minières","Data Deficient","0","1","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Climate Change and Severe Weather","Droughts","Climate change","Data Deficient","1","1","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Climate Change and Severe Weather","Temperature extremes","Climate change","Data Deficient","1","1","2014"
"4322","elena","Completed","Translated","Ichkeul National Park","Climate Change and Severe Weather","Habitat Shifting/ Alteration","Climate change","Data Deficient","1","1","2014"
"4328","elena","Completed","Published","Kahuzi-Biéga National Park","Transportation and Service Corridors","Roads/ Railroads","Rehabilitation of the RN3 through the high altitude sector of park.","High Threat","1","1","2014"
"26649","elena","Completed","Published","Tongariro National Park","Other","Other","Pollution","Very Low Threat","1","1","2014"
"168242","elena","Completed","Published","East Rennell","Energy Production and Mining","Mining/ Quarrying","Mining","Low Threat","1","1","2014"
"168242","elena","Completed","Published","East Rennell","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Invasive Giant African Land Snails","Data Deficient","1","1","2014"
