"wdpa_id","assessment_version_id","screenname","status","stage","name_en","values_","criterion","current_threat","threat_category","threat_sub_category","assessment_cycle"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Rare and endemic mammals","10","Subsistence hunting","Biological Resource Use","Poaching","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Rare and endemic mammals","10","Subsistence hunting","Biological Resource Use","Poaching","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Extraordinary soda lake ecosystem processes and trophic dynamics","9","Livestock grazing pressure","Agriculture and Aquaculture","Livestock Farming / Grazing","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Extraordinary soda lake ecosystem processes and trophic dynamics","9","Ecological isolation","Natural System Modifications","Other Ecosystem Modifications","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Extraordinary soda lake ecosystem processes and trophic dynamics","9","Use of water from upstream catchment areas and groundwater aquifers","Natural System Modifications","Dams/ Water Management or Use","2014"
