"wdpa_id","assessment_version_id","screenname","status","stage","name_en","values_","criterion","potential_threat","threat_category","threat_sub_category","assessment_cycle"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Extraordinary soda lake ecosystem processes and trophic dynamics","9","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Exceptionally diverse bird fauna, including rare and endangered species","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","World’s largest congregations of lesser flamingoes","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Crucial flyway for bird migration","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"902347","4415","elena","Completed","Published","Cape Floral Region Protected Areas","Outstanding diversity, density and endemism of flora","10","Residential and Commercial Development","Residential and Commercial Development","Housing/ Urban Areas","2014"
"902347","4415","elena","Completed","Published","Cape Floral Region Protected Areas","Ongoing ecological and biological processes associated with the evolution of the unique Fynbos biome","9","Residential and Commercial Development","Residential and Commercial Development","Housing/ Urban Areas","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Outstanding natural beauty of lake in Rift Valley","7","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Outstanding natural beauty of lake in Rift Valley","7","Inappropriate tourism development","Residential and Commercial Development","Tourism/ Recreation Areas","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Key example of evolutionary processes","9","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Extraordinary diversity of fish species","10","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Extremely high levels of species endemism","10","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","Threatened species and endemics","10","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","Threatened species and endemics","10","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","Threatened species and endemics","10","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","An exceptional array of naturally functioning ecosystems","9","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","An exceptional array of naturally functioning ecosystems","9","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","An exceptional array of naturally functioning ecosystems","9","Episodic eruptions","Geological Events","Volcanoes","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Extraordinary landscape beauty","7","Earthquakes","Geological Events","Earthquakes/ Tsunamis","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Extraordinary landscape beauty","7","Earthquakes","Geological Events","Earthquakes/ Tsunamis","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Extraordinary landscape beauty","7","Earthquakes","Geological Events","Earthquakes/ Tsunamis","2014"
"16792","4909","elena","Completed","Published","Manovo-Gounda St Floris National Park","La plus grande savane d’Afrique centrale","9","Prospection pétrolière","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"16792","4909","elena","Completed","Published","Manovo-Gounda St Floris National Park","La faune très riche des savanes soudano-sahélienne et soudano-guinéenne","10","Prospection pétrolière","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"12203","4918","elena","Completed","Published","Iguaçu National Park","Exceptional biodiversity","10","Pressure to re-open the “Estrada do Colono”","Transportation and Service Corridors","Roads/ Railroads","2014"
"12203","4918","elena","Completed","Published","Iguaçu National Park","Exceptional biodiversity","10","Pressure to re-open the “Estrada do Colono”","Transportation and Service Corridors","Roads/ Railroads","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Large undisturbed wilderness area","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Large undisturbed wilderness area","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Large undisturbed wilderness area","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Globally significant populations of large mammals","10","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Globally significant populations of large mammals","10","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Globally significant populations of large mammals","10","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Rare and endangered species","10","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Rare and endangered species","10","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Rare and endangered species","10","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Diversity of vegetation types","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Diversity of vegetation types","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Diversity of vegetation types","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Sand rivers and associated floodplains","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Sand rivers and associated floodplains","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"5005","4933","elena","Completed","Published","Selous Game Reserve","Sand rivers and associated floodplains","9","Dam construction","Natural System Modifications","Dams/ Water Management or Use","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Exceptional beauty of Rock islands","7","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Exceptional area with high variety of habitats","7","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Marine lakes and associated species","9","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Exceptionally high biological and marine habitat diversity","10","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Corals","10","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Fish","10","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Terrestrial biodiversity","10","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Sharks and turtles","10","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"555547992","4999","elena","Completed","Published","Rock Islands Southern Lagoon","Mollusks","10","Typhoons","Geological Events","Earthquakes/ Tsunamis","2014"
"478641","5008","elena","Completed","Published","The Dolomites","Long history of geological studies","8","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"478641","5008","elena","Completed","Published","The Dolomites","Long history of geological studies","8","Climate change","Climate Change and Severe Weather","Storms/Flooding","2014"
"478641","5008","elena","Completed","Published","The Dolomites","Long history of geological studies","8","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"5004","7341","rebeccaklaus","Completed","Assessment","Aldabra Atoll","Fishes","10","Temperature extremes","Climate Change and Severe Weather","Temperature extremes","2017"
"5004","7341","rebeccaklaus","Completed","Assessment","Aldabra Atoll","Fishes","10","Ocean acdification","Climate Change and Severe Weather","Ocean acidification","2017"
"5004","7341","rebeccaklaus","Completed","Assessment","Aldabra Atoll","Fishes","10","Chemical and oil spills and collisions","Transportation and Service Corridors","Shipping Lanes","2017"
"5004","7341","rebeccaklaus","Completed","Assessment","Aldabra Atoll","Fishes","10","Introduction of non-native species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2017"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Marine biodiversity","10","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Marine biodiversity","10","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Marine biodiversity","10","Climate change","Climate Change and Severe Weather","Storms/Flooding","2014"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Marine biodiversity","10","Potential introduction of rats","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Diversity of coastal and terrestrial flora","10","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Diversity of coastal and terrestrial flora","10","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"198303","5137","elena","Completed","Published","Ibiza: Biodiversity and Culture","Diversity of coastal and terrestrial flora","10","Climate change","Climate Change and Severe Weather","Storms/Flooding","2014"
"26689","5146","elena","Completed","Published","Canadian Rocky Mountain Parks","Area of exceptional natural beauty and aesthetic importance","7","Increasing drought frequency","Climate Change and Severe Weather","Droughts","2014"
"902356","5159","elena","Completed","Published","Natural System of Wrangel Island Reserve","Exceptional example of an  Arctic island ecosystem with exceptionally long-lasting succession","9","Continued and accelerated climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"902356","5159","elena","Completed","Published","Natural System of Wrangel Island Reserve","Exceptional example of past and ongoing speciation","9","Continued and accelerated climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"902356","5159","elena","Completed","Published","Natural System of Wrangel Island Reserve","Exceptionally rich Arctic plant diversity and endemism","10","Continued and accelerated climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"902356","5159","elena","Completed","Published","Natural System of Wrangel Island Reserve","Exceptionally diverse Arctic invertebrate fauna","10","Continued and accelerated climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"902356","5159","elena","Completed","Published","Natural System of Wrangel Island Reserve","Exceptionally diverse Arctic avifauna","10","Continued and accelerated climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"902356","5159","elena","Completed","Published","Natural System of Wrangel Island Reserve","Exceptionally diverse and abundant terrestrial and marine Arctic mammal fauna","10","Continued and accelerated climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"93767","5161","elena","Completed","Published","Gough and Inaccessible Islands","Seabird populations","10","Motorway","Transportation and Service Corridors","Roads/ Railroads","2014"
"93767","5161","elena","Completed","Published","Gough and Inaccessible Islands","Seabird populations","10","Urban development","Residential and Commercial Development","Housing/ Urban Areas","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Outstanding natural beauty","7","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Diverse assemblage of mammals, including rare and endangered species","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"900889","5302","remco","Completed","Published","Ha Long Bay","Full range of karst formation processes","8","Oil exploration","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"2575","5303","elena","Completed","Published","Serengeti National Park","Complex and complete mammalian community","10","Modernization of techniques and use of motor vehicles (for herding)","Social/ Cultural Changes","Changes in traditional ways of life and knowledge systems","2014"
"2575","5303","elena","Completed","Published","Serengeti National Park","Complex and complete mammalian community","10","Mining prospecting at the vicinity of the site","Energy Production and Mining","Mining/ Quarrying","2014"
"2575","5303","elena","Completed","Published","Serengeti National Park","Rare and endangered species","10","Climate change","Climate Change and Severe Weather","Habitat Shifting/ Alteration","2014"
"2575","5303","elena","Completed","Published","Serengeti National Park","Rare and endangered species","10","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"20062","5306","elena","Completed","Published","Sian Ka'an","Scenic beauty of mosaic of landscape elements","7","Approval of additional dams on the Peace River and possibly other rivers","Natural System Modifications","Dams/ Water Management or Use","2014"
"20062","5306","elena","Completed","Published","Sian Ka'an","Scenic beauty of mosaic of landscape elements","7","Increased drying of wetland areas due to climate change as one example of systemic changes","Climate Change and Severe Weather","Temperature extremes","2014"
"124385","5553","remco","Completed","Published","W National Park of Niger","Une grande diversité d'écosystèmes aquatiques et terrestres.","9","Pollution","Pollution","Water Pollution","2014"
"198302","5565","remco","Completed","Published","iSimangaliso Wetland Park","Geographically diverse area with superlative vistas along its 220km-long coast","7","Pollution - marine and coastal","Transportation and Service Corridors","Shipping Lanes","2014"
"198302","5565","remco","Completed","Published","iSimangaliso Wetland Park","Geographically diverse area with superlative vistas along its 220km-long coast","7","Pollution - marine and coastal","Pollution","Water Pollution","2014"
"124385","5553","remco","Completed","Published","W National Park of Niger","Une riche biodiversité avec des espèces menacées.","10","Pollution","Pollution","Water Pollution","2014"
"145590","5605","elena","Completed","Published","Pyrénées - Mont Perdu","Outstanding scenic landscape","7","Increase in visitation","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","2014"
"145590","5605","elena","Completed","Published","Pyrénées - Mont Perdu","Outstanding scenic landscape","7","Increase in visitation","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","2014"
"16793","5711","elena","Completed","Published","Nanda Devi and Valley of Flowers National Parks","Natural beauty and aesthetic values","7","Opening of the site for mountain tourism","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","2014"
"16793","5711","elena","Completed","Published","Nanda Devi and Valley of Flowers National Parks","Natural beauty and aesthetic values","7","Opening of the site for mountain tourism","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","2014"
"16793","5711","elena","Completed","Published","Nanda Devi and Valley of Flowers National Parks","Important site for in-situ conservation of biological diversity","10","Opening of the site for mountain tourism","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","2014"
"16793","5711","elena","Completed","Published","Nanda Devi and Valley of Flowers National Parks","Important site for in-situ conservation of biological diversity","10","Opening of the site for mountain tourism","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","2014"
"198302","5565","remco","Completed","Published","iSimangaliso Wetland Park","Significant diversity of African biota","10","Pollution - marine and coastal","Transportation and Service Corridors","Shipping Lanes","2014"
"198302","5565","remco","Completed","Published","iSimangaliso Wetland Park","Significant diversity of African biota","10","Pollution - marine and coastal","Pollution","Water Pollution","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding diversity of plants including mangroves and seagrass","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding diversity of plants including mangroves and seagrass","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Superlative natural beauty above and below the water","7","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Superlative natural beauty above and below the water","7","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Spectacular species assemblages","7","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Spectacular species assemblages","7","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding on-going ecological and biological processes in the evolution and development of coastal and marine ecosystems and communities of plants and animals.","9","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding on-going ecological and biological processes in the evolution and development of coastal and marine ecosystems and communities of plants and animals.","9","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Threatened mammals","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Threatened mammals","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Bird diversity","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Bird diversity","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Threatened reptiles","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Threatened reptiles","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding diversity of fish including threatened species","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding diversity of fish including threatened species","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding diversity of invertebrate species, including hard and soft corals","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"2571","6002","elena","Completed","Published","Great Barrier Reef","Outstanding diversity of invertebrate species, including hard and soft corals","10","Increased port activity and shipping and port infrastructure development","Residential and Commercial Development","Commercial/ Industrial Areas","2014"
"26689","5146","elena","Completed","Published","Canadian Rocky Mountain Parks","One of the most significant fossil areas and a classic representation of on-going glacial processes","8","Increasing drought frequency","Climate Change and Severe Weather","Droughts","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","Salmon populations","10","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","Salmon populations","10","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","Mammal fauna","10","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","Mammal fauna","10","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","Landscapes of exceptional natural beauty","7","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","Landscapes of exceptional natural beauty","7","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
"124387","6015","elena","Completed","Published","Volcanoes of Kamchatka","A diverse range of palearctic flora","10","Two hydropower stations outside the Kronotskiy reserve at Zhupanovaya River","Energy Production and Mining","Renewable Energy","2014"
