"wdpa_id","screenname","status","stage","name_en","threat_category","threat_sub_category","rating","inside_site","outside_site","assessment_version_id","assessment_cycle"
"10904","elena","Completed","Published","Lake Malawi National Park","Biological Resource Use","Poaching","Low Threat","1","1","4431","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Agriculture and Aquaculture","Livestock Farming / Grazing","Low Threat","1","1","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Very Low Threat","1","1","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Natural System Modifications","Fire/ Fire Suppression","High Threat","1","1","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Residential and Commercial Development","Housing/ Urban Areas","Data Deficient","1","1","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Agriculture and Aquaculture","Crops","Data Deficient","1","1","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Transportation and Service Corridors","Roads/ Railroads","Low Threat","1","0","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Biological Resource Use","Other Biological Resource Use","Low Threat","0","0","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","Data Deficient","0","1","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Other","Other","Data Deficient","1","0","4302","2014"
"26653","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Social/ Cultural Changes","Identity/ Social Cohesion/ Changes in local population and community","Low Threat","1","1","4302","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Agriculture and Aquaculture","Crops","High Threat","1","1","4433","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Agriculture and Aquaculture","Livestock Farming / Grazing","Very High Threat","1","1","4433","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Biological Resource Use","Logging/ Wood Harvesting","High Threat","1","1","4433","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Biological Resource Use","Hunting (commercial/subsistence)","Very High Threat","1","1","4433","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Natural System Modifications","Fire/ Fire Suppression","High Threat","1","1","4433","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Energy Production and Mining","Mining/ Quarrying","High Threat","0","1","4433","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","High Threat","1","1","4433","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","0","4221","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Human Intrusions and Disturbance","Tourism/ visitors/ recreation","Low Threat","1","0","4221","2014"
