"wdpa_id","screenname","status","stage","name_en","topic","pm_rating","assessment_cycle"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Highly Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Sustainable use","Data Deficient","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Tourism and visitation management","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Monitoring","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Research","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Legal framework","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Enforcement","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Management effectiveness","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Implementation of Committee decisions and recommendations","Data Deficient","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Boundaries","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Sustainable finance","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Staff training and development","Effective","2017"
"555624858","elena","In Progress","Assessment","Los Alerces National Park","Education and interpretation programs","Effective","2017"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Legal framework","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Integration into regional and national planning systems (including sea/landscape connectivity)","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Highly Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Management effectiveness","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Implementation of Committee decisions and recommendations","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Boundaries","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Sustainable finance","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Staff training and development","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Sustainable use","Data Deficient","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Education and interpretation programs","Data Deficient","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Tourism and visitation management","Effective","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Monitoring","Some Concern","2014"
"2010","elena","Completed","Published","Ngorongoro Conservation Area","Research","Some Concern","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Data Deficient","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Legal framework","Effective","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Effective","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Effective","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Management effectiveness","Some Concern","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Implementation of Committee decisions and recommendations","Data Deficient","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Boundaries","Some Concern","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Sustainable finance","Effective","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Staff training and development","Some Concern","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Sustainable use","Effective","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Education and interpretation programs","Data Deficient","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Tourism and visitation management","Some Concern","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Monitoring","Data Deficient","2014"
"17761","elena","Completed","Published","Kilimanjaro National Park","Research","Effective","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Research","Serious Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Staff training and development","Effective","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Boundaries","Some Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Implementation of Committee decisions and recommendations","Serious Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Sustainable finance","Serious Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Monitoring","Serious Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Tourism and visitation management","Some Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Education and interpretation programs","Some Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Sustainable use","Data Deficient","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Management effectiveness","Serious Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Management system (for transboundary/serial properties, integrated management system should also be described/evaluated)","Some Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Integration into regional and national planning systems (including sea/landscape connectivity)","Some Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Legal framework","Some Concern","2014"
"2580","elena","Completed","Published","Niokolo-Koba National Park","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Some Concern","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Research","Highly Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Relationships with local people (including stakeholder relationships, participatory management, rights, and access to benefits and equity)","Effective","2014"
"902487","elena","Completed","Published","Wadi Al-Hitan (Whale Valley)","Legal framework","Effective","2014"
