"wdpa_id","assessment_version_id","screenname","status","stage","name_en","values_","criterion","trend","state_","is_biodiv_whval","assessment_cycle"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Stable","Good","0","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Rare and endemic mammals","10","Stable","Low Concern","0","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Rare and endemic reptiles and amphibians","10","Stable","Low Concern","0","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Rare and endemic birds","10","Stable","Low Concern","0","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Rich endemic flora","10","Deteriorating","Low Concern","0","2014"
"902368","7626","elena","Completed","Assessment","St Kilda","Important seabird station","10","Deteriorating","High Concern","0","2017"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Exceptional geo-morphological features of the Great Rift Valley","8","Stable","Good","0","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Extraordinary soda lake ecosystem processes and trophic dynamics","9","Data Deficient","Data Deficient","0","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Exceptionally diverse bird fauna, including rare and endangered species","10","Data Deficient","Data Deficient","0","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","World’s largest congregations of lesser flamingoes","10","Stable","Low Concern","0","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Crucial flyway for bird migration","10","Stable","Good","0","2014"
"145576","7391","elenaperez","Completed","Assessment","Heard and McDonald Islands","Outstanding examples of significant on-going geological processes occurring in an essentially undisturbed environment","8","Stable","Good","0","2017"
"17761","4211","elena","Completed","Published","Kilimanjaro National Park","Africa’s highest peak in and one of the world’s largest free-standing mountains","7","Stable","Good","0","2014"
"17761","4211","elena","Completed","Published","Kilimanjaro National Park","Spectacular mountain scenery","7","Deteriorating","Low Concern","0","2014"
"145576","7391","elenaperez","Completed","Assessment","Heard and McDonald Islands","Evolution and development of island ecosystems","9","Data Deficient","Low Concern","0","2017"
"61608","2812","alok","Completed","Published","Rwenzori Mountains National Park","Spectacular mountain scenery","7","Deteriorating","Low Concern","0","2014"
"61608","2812","alok","Completed","Published","Rwenzori Mountains National Park","Rich montane flora, with many endemic species","10","Deteriorating","Low Concern","0","2014"
"61608","2812","alok","Completed","Published","Rwenzori Mountains National Park","Rare and endemic birds","10","Improving","Good","0","2014"
"61608","2812","alok","Completed","Published","Rwenzori Mountains National Park","Rare and threatened mammals","10","Improving","Good","0","2014"
