"wdpa_id","assessment_version_id","screenname","status","stage","name_en","values_","criterion","current_threat","threat_category","threat_sub_category","assessment_cycle"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Alien Invasive Species","Invasive and Other Problematic Species and Genes","Invasive Non-Native/ Alien Species","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Extreme weather events","Climate Change and Severe Weather","Storms/Flooding","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Marine pollution and garbage","Pollution","Water Pollution","2014"
