"wdpa_id","assessment_version_id","screenname","status","stage","name_en","values_","criterion","potential_threat","threat_category","threat_sub_category","assessment_cycle"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Ocean acidification","2014"
"26653","4302","elena","Completed","Published","Tsingy de Bemaraha Strict Nature Reserve","Unique and spectacular geomorphological features","7","Climate change","Climate Change and Severe Weather","Temperature extremes","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Extraordinary soda lake ecosystem processes and trophic dynamics","9","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Exceptionally diverse bird fauna, including rare and endangered species","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","World’s largest congregations of lesser flamingoes","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"555542339","4209","elena","Completed","Published","Kenya Lake System in the Great Rift Valley","Crucial flyway for bird migration","10","Geothermal energy development","Energy Production and Mining","Renewable Energy","2014"
"902347","4415","elena","Completed","Published","Cape Floral Region Protected Areas","Outstanding diversity, density and endemism of flora","10","Residential and Commercial Development","Residential and Commercial Development","Housing/ Urban Areas","2014"
"902347","4415","elena","Completed","Published","Cape Floral Region Protected Areas","Ongoing ecological and biological processes associated with the evolution of the unique Fynbos biome","9","Residential and Commercial Development","Residential and Commercial Development","Housing/ Urban Areas","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Outstanding natural beauty of lake in Rift Valley","7","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Outstanding natural beauty of lake in Rift Valley","7","Inappropriate tourism development","Residential and Commercial Development","Tourism/ Recreation Areas","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Key example of evolutionary processes","9","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Extraordinary diversity of fish species","10","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"10904","4431","elena","Completed","Published","Lake Malawi National Park","Extremely high levels of species endemism","10","Oil and gas development","Energy Production and Mining","Oil/ Gas exploration/development","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","Threatened species and endemics","10","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","Threatened species and endemics","10","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","An exceptional array of naturally functioning ecosystems","9","Episodic eruptions","Geological Events","Volcanoes","2014"
"220292","4838","elena","Completed","Published","Kinabalu Park","An exceptional array of naturally functioning ecosystems","9","Episodic eruptions","Geological Events","Volcanoes","2014"
"555556046","4845","elena","Completed","Published","El Pinacate and Gran Desierto de Altar Biosphere Reserve","Extraordinary landscape beauty","7","Earthquakes","Geological Events","Earthquakes/ Tsunamis","2014"
